txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN1104,2024/04/03,IRCTC,3456.00,USD,success,Travel,ACC002,
TXN1106,11-06-2024,PhonePe,2000.00,INR,SUCCESS,,ACC001,
TXN1108,2024/08/25,Swiggy,456.78,INR,failed,Food,ACC004,Duplicate?
TXN1110,06-10-2024,Amazon,8934.21,INR,SUCCESS,Shopping,ACC005,
TXN1112,2024/12/07,Flipkart,1234.56,INR,FAILED,Shopping,ACC002,Refund expected
TXN1114,23-01-2024,McDonald's,567.00,INR,success,,ACC003,
TXN1116,2024/03/30,Uber,$890.00,INR,SUCCESS,Transport,ACC004,
TXN1118,14-07-2024,Cred,5000.00,INR,PENDING,Utilities,ACC001,
TXN1120,2024/05/18,Amazon,12345.67,INR,failed,Shopping,ACC002,SUSPICIOUS
TXN1076,14-08-2024,Flipkart,2763.26,INR,SUCCESS,Shopping,ACC004,Duplicate?
TXN1122,29-09-2024,Swiggy,234.00,INR,success,Food,ACC005,
TXN1124,2024/02/14,MakeMyTrip,67890.00,INR,SUCCESS,Travel,ACC003,
TXN1126,08-04-2024,BigBasket,$2345.00,INR,FAILED,,ACC001,
TXN1128,2024/06/22,Ola,567.89,INR,success,Transport,ACC004,
TXN1130,17-08-2024,Netflix,499.00,INR,SUCCESS,Entertainment,ACC002,
TXN1132,2024/10/11,HDFC ATM,20000.00,INR,SUCCESS,Cash Withdrawal,ACC005,
TXN1134,25-12-2024,Flipkart,$45678.90,INR,success,Shopping,ACC003,SUSPICIOUS
,2024/01/08,Zomato,890.00,INR,FAILED,Food,ACC001,
TXN1138,13-03-2024,Paytm,750.00,INR,SUCCESS,,ACC004,
TXN1140,2024/07/27,Spotify,149.00,INR,success,Entertainment,ACC002,
TXN1142,02-05-2024,Amazon,3456.78,INR,FAILED,Shopping,ACC005,
TXN1144,2024/09/09,Swiggy,1678.90,INR,SUCCESS,Food,ACC001,Verified
TXN1146,20-11-2024,IRCTC,4567.00,INR,PENDING,Travel,ACC003,
TXN1148,2024/02/28,Flipkart,2345.67,INR,failed,,ACC004,
TXN1150,16-04-2024,Myntra,6789.00,USD,SUCCESS,Shopping,ACC002,
TXN1152,2024/06/05,Uber,234.56,INR,success,Transport,ACC005,
TXN1154,28-08-2024,Starbucks,$450.00,INR,FAILED,Food,ACC003,
TXN1156,2024/10/20,Jio Recharge,299.00,INR,SUCCESS,Utilities,ACC001,
TXN1158,07-12-2024,Amazon,9876.54,INR,success,Shopping,ACC004,Duplicate?
TXN1160,2024/03/12,Ola,178.00,INR,FAILED,Transport,ACC002,
TXN1022,05-04-2024,Amazon,32150.75,INR,SUCCESS,Shopping,ACC002,SUSPICIOUS
TXN1162,21-05-2024,Zomato,2345.00,INR,success,Food,ACC005,
TXN1164,2024/07/16,HDFC ATM,$10000.00,INR,SUCCESS,Cash Withdrawal,ACC003,
TXN1166,10-09-2024,MakeMyTrip,23456.00,USD,FAILED,Travel,ACC001,
TXN1168,2024/11/24,Swiggy,567.89,INR,success,,ACC004,
,15-01-2024,BigBasket,1234.00,INR,SUCCESS,Food,ACC002,
TXN1172,2024/04/18,Netflix,799.00,INR,PENDING,Entertainment,ACC005,
TXN1174,26-06-2024,Amazon,4567.89,INR,failed,Shopping,ACC003,
TXN1176,2024/08/02,PhonePe,3500.00,INR,SUCCESS,,ACC001,
TXN1178,12-10-2024,Flipkart,6543.21,INR,success,Shopping,ACC004,Verified
TXN1180,2024/12/15,Swiggy,$987.65,INR,FAILED,Food,ACC002,
TXN1182,04-02-2024,Dunzo,456.00,INR,success,,ACC005,
TXN1184,2024/05/29,IRCTC,7890.00,INR,SUCCESS,Travel,ACC003,
TXN1186,18-07-2024,Amazon,23456.78,INR,FAILED,Shopping,ACC001,SUSPICIOUS
TXN1188,2024/09/03,Ola,345.00,INR,success,Transport,ACC004,
TXN1190,24-11-2024,Cred,4500.00,INR,SUCCESS,Utilities,ACC002,
